proverb_id,proverb,meaning,theme,example
P001,অতি লোভে তাঁতি নষ্ট,অতিরিক্ত লোভ করতে গিয়ে মানুষ নিজের যা আছে তাও হারাতে পারে।,greed,অতিরিক্ত লাভের আশায় সব সঞ্চয় অনিশ্চিত ঝুঁকিপূর্ণ শেয়ারে বিনিয়োগ করে সে নিঃস্ব হয়ে গেল।
P002,ধৈর্যের ফল মিষ্টি,ধৈর্য ধরে অপেক্ষা ও নিরলস পরিশ্রম করলে শেষ পর্যন্ত সাফল্য ও শুভ পরিণাম পাওয়া যায়।,patience,পাঁচ বছর কঠোর অধ্যাবসায় করার পর অবশেষে সে প্রতিযোগিতামূলক পরীক্ষায় প্রথম স্থান অর্জন করল।
P003,চোর পালালে বুদ্ধি বাড়ে,কোনো বিপদ বা ক্ষতি ঘটে যাওয়ার পর কী করা উচিত ছিল তা ভেবে আফসোস করা বা সচেতন হওয়া।,hindsight,বাসা থেকে মূল্যবান জিনিসপত্র চুরি হয়ে যাওয়ার পর মালিক সিসিটিভি ক্যামেরা লাগানোর কথা চিন্তা করতে লাগলেন।
P004,এক হাতে তালি বাজে না,"কোনো বিবাদ, ভুল বোঝাবুঝি বা জটিলতা সৃষ্টিতে সাধারণত একা কারও নয়, বরং উভয় পক্ষেরই কম-বেশি দায় থাকে।",relationship,"দুই সহকর্মীর তিক্ত বাকবিতণ্ডার ক্ষেত্রে শুধু একজন নয়, অন্যজনের উসকানিমূলক আচরণও সমান দায়ী ছিল।"
P005,নাচতে না জানলে উঠান বাঁকা,"নিজের কাজের অদক্ষতা ও ব্যর্থতা স্বীকার না করে পরিবেশ, পরিস্থিতি বা অন্যকে দোষারোপ করা।",hypocrisy,পরীক্ষার প্রস্তুতি না নিয়ে খারাপ ফলাফল করায় সে দাবি করল পরীক্ষার হলের আলো নাকি পর্যাপ্ত ছিল না।
P006,"লোভে পাপ, পাপে মৃত্যু",অন্যায় লোভ মানুষকে অসৎ পথে নিয়ে যায় এবং শেষ পর্যন্ত চরম ধ্বংস ও ক্ষতির মুখে ঠেলে দেয়।,greed,চোরাই মালামালের কারবারে বিপুল টাকা উপার্জনের লোভে জড়িয়ে সে শেষ পর্যন্ত পুলিশের হাতে ধরা পড়ে সবকিছু হারাল।
P007,গাছে কাঁঠাল গোঁফে তেল,কোনো প্রাপ্তি নিশ্চিত হওয়ার আগেই আগাম ভোগ বা উদযাপনের পরিকল্পনা করে বসে থাকা।,unrealized_gain,নতুন চাকরি পাওয়ার কোনো চূড়ান্ত চিঠি না আসতেই সে বন্ধুদের বিশাল পার্টির নিমন্ত্রণ দিয়ে বসল।
P008,কষ্ট না করলে কেষ্ট মেলে না,কোনো মহৎ অর্জন বা সফলতা কঠিন পরিশ্রম ও ত্যাগ স্বীকার ছাড়া কখনোই পাওয়া যায় না।,hard_work,রাতদিন অনুশীলন ও কঠোর সাধনা ছাড়া কোনো ক্রীড়াবিদ আন্তর্জাতিক মঞ্চে স্বর্ণপদক জয় করতে পারে না।
P009,যত গর্জে তত বর্ষে না,"যে ব্যক্তি মুখে খুব বড়াই ও আস্ফালন করে, কাজে সে আসলে তেমন কিছুই করে দেখাতে পারে না।",boasting,নির্বাচনের আগে প্রতিদ্বন্দ্বী প্রার্থী প্রতিপক্ষকে গুঁড়িয়ে দেওয়ার হুংকার দিলেও বাস্তবে কোনো জোরালো পদক্ষেপ নিতে পারল না।
P010,ঢিল মারলে পাটকেল খেতে হয়,অন্যের প্রতি খারাপ আচরণ বা অন্যায় আঘাত করলে পাল্টা একই রকম বা তার চেয়েও কঠিন প্রতিঘাতের মুখোমুখি হতে হয়।,karma,প্রতিবেশীর বাগানের ক্ষতি করায় ক্ষুব্ধ প্রতিবেশী তার সীমানা প্রাচীর ভেঙে সমান জবাব দিল।
